172.64.229.224:443#电信优选 | 53.77ms | 60.01mb/s
162.159.237.98:443#电信优选 | 154.25ms | 0.58mb/s
104.19.138.194:443#电信优选 | 157.49ms | 2.62mb/s
141.101.115.41:443#电信优选 | 158.03ms | 2.13mb/s
104.18.99.150:443#电信优选 | 159.10ms | 1.23mb/s
104.18.92.25:443#电信优选 | 159.15ms | 0.68mb/s
162.159.144.228:443#联通优选 | 130.79ms | 0.18mb/s
162.159.141.241:443#联通优选 | 131.81ms | 0.38mb/s
104.20.28.198:443#联通优选 | 132.10ms | 0.16mb/s
162.159.151.224:443#联通优选 | 132.96ms | 0.22mb/s
162.159.129.78:443#联通优选 | 134.55ms | 0.21mb/s
172.67.67.249:443#联通优选 | 134.69ms | 0.21mb/s
104.18.33.81:443#移动优选 | 51.71ms | 0.10mb/s
104.19.61.189:443#移动优选 | 52.02ms | 0.16mb/s
104.18.47.28:443#移动优选 | 52.22ms | 0.10mb/s
104.19.52.133:443#移动优选 | 54.60ms | 0.15mb/s
104.19.58.146:443#移动优选 | 54.95ms | 0.13mb/s
104.19.62.141:443#移动优选 | 56.29ms | 0.22mb/s
172.64.229.21:443#多线优选 | 78.49ms | 0.38mb/s
104.18.253.130:443#多线优选 | 143.55ms | 0.17mb/s
172.66.44.12:443#多线优选 | 143.80ms | 2.48mb/s
104.19.235.94:443#多线优选 | 144.09ms | 0.22mb/s
104.16.32.76:443#多线优选 | 144.48ms | 0.44mb/s
104.18.100.49:443#多线优选 | 144.93ms | 0.34mb/s
